input,risposta
Se uno della nostra età ha fatto minimo 7 problemi giusti per me è un genio,"Ma anche 5 secondo me. Boh, vedremo"
Sisi,Idem e ho risposto solo a quelli di cui più o meno ero sicuro quindi 3. Chiederò e ti farò sapere
L'importanza è che ci abbiamo ragionato per 90 minuti e ci siamo sforzati,"Si quello sicuro, sono stati 90min molto intensi haha"
In effetti sì ahahahah,Linsider trading è compra vendita di titoli avendo conoscenze e informazioni in anticipo provenienti dall'interno dell'azienda. Il trast e il monopolio sono lo stesso fenomeno
Correggo subito,Nulla nulla haha. Oi pincia. Puoi avvisare che io e serena non ci saremo a latino oggi?. Grazoe
Nulla,"You deleted this message. You deleted this message. Milton de Souza Cortea. Correa*. Oi, scusa per l'orario, mi potresti mandare la versione per domani? Non sono sicuro di alcune parti e vorrei controllare"
<Media omitted>,https://www.ansa.it/canale_scienza_tecnica/notizie/fisica_matematica/2011/09/23/e-stata-superata-la-velocita-della-luce_324d164d-de1c-11e6-9836-00505695d1bc.html. Buongiorno carissimo. Nuovo anno e nuovo inizio hahaha spero sarai in forma come gli altri perché ci serve uno come te in classe. Ne sono convinto
Fatto anch'io. Domani però non andrò al primo incontro. Tu invece ci vai?,Nicee. Si ci andrò anche se arriverò mezz'ora in ritardo avendo la sesta ora
👌,Come potrai immaginare oggi non ho partecipato alla fine all'incontro per le Olimpiadi della matematica. Ho appena visto però la prima esercitazione... Ma sono tutti problemi di geometria! Non me l'aspettavo
Come stai?,Ancora intasato per il raffreddore ma niente più febbre. Penso che domani ci sarò
This message was deleted,"Ho letto solo ""ciao cata e circolare"" hahaha"
😂😂,"Tranquillo hahahaha. Si esatto, dimmi"
Perché dovremo fare la conferenza durante la verifica di fisica,Ah cavolo non ci avevo pensato..
E cmq perdiamo 1 ora della barzaghi,Aspe' allora. La verifica la prof ha detto che dura un'ora giusto?
Si,Allora vedo cosa si può fare per spostare la conferenza alla prima ora con il biennio e faremo la verifica la seconda. Scusa ho invertito ma il senso è quello haha. Poi comunque adesso scrivo alla prof
Perché poi avevamo spostato 1 ora di fisica per ripassare la prima ora della barzaghi,Eh lo so. Ma la conferenza bisogna farla per forza. Adesso le scrivo e poi ti e vi aggiorno
Scrivi anche a leo,Grazie mille per avermelo fatto notare altrimenti me lo sarei perso
Niente fra!!,"Si certo gli avrei inoltrato la mail. Pincia scusa mi sono dimenticato di chiedertelo prima; il prossimo allenamento lo abbiamo lunedì questo che viene, ma gli orari non ci sono scritti nella circolare, tu che l'hai fatto anche l'anno scorso sai qualcosa?"
14:30-16,"Sisi ho visto, grazie lo stesso. Tu in che gruppo ti sei messo?"
Penso di mettermi nel secondo,Okok
"Sarebbe meglio, come hai detto tu, chiedere alla prof quali siano le parti sul libro e gli argomenti su cui sarà la verifica.","Sisi quello lo faccio di sicuro. Tra poco torno a casa e le mando la mail, quello che volevo sapere da voi era il *se rimandarla o meno"". Alla fine che pagine ci sono da studiare di storia?. Oggi ero preso da storia e non ho seguito tutti i discorsi di filosofia😅"
Storia o filosofia?,Filosofia Sorry. Questo per farti capire che la mia testa è ancora settata su storia😂
Ottimo😂,Grazzzie
Niente,HAHAHAHAHAHHA. Ho riso un sacco 😂
😂😂😂,HAHAHAHHAHAHAHAHAHHA. Enniente
😂😂😂😂,MA PINCIA HAJAHAHAHAHAHAHAHAHA. MI HAI FATTO MORIRE
L'ora di religione va considerata come potenziamento?,"Entri come tutti, la prof è di sorveglianza ma non è considerata ora di religione"
"Ciao cata, con l'8,5 intendevi di media totale?",Yep
"Ok, allora ce l'avevo","Okok, grazie"
Per cosa serve?,Era un mini sondaggio per una cosa per il prossimo consiglio d'istituto. Ero in chiamata con i rappresentanti degli studenti e dei genitori. Poi faremo una vera survey in tutta la scuola
Ok,"Marco scusa, sai per caso le pagine di storia da studiare per la verifica? Ogni volta non ci capisco un cavolo..."
"Allora, sono i capitoli 5-6-7. Quindi da pagina 126 a 219...",Be'. Che dire. Poca roba. Pincia ma quando la prof ha detto che ci saranno le definizioni in storia intendeva quelle a lato della pagina tipo Diplomazia deriva da Diploma da Diploos ?
Immagine profilo del gruppo di altissimo livello,Tè vist. Le analisi su che cosa erano di preciso?
I due testi alle pagine 286-287,Grazie :)
Niente,"A me viene 5,4*10⁵"
Che dati hai preso?,"No okay. Era giusti i dati e giusta la formula, però a quanto pare non so risolvere le equazioni 👍"
Ah ok 👌,"Sarò stupido. Ma ho dei problemi con il numero 22. You deleted this message. Il 22 viene 2,24*10^-7 e sul libro c'è scritto 2,24*10^-10. Il 39 viene 1,37*10⁷ e sul libro c'è scritto 1,374*10⁴. È un complotto"
Ero anche io nella tua situazione prima,😬. Auguri. Immagino
Prova a controllare le unità di misura,Si scusa non ti ho più scritto. Non indovineresti mai cosa avevo sbagliato..... E quindi l'ho sempre usata sbagliata
"Non ci credo, incredibile....",Non hai idea di quanto tempo abbia perso a rifare i conti e controllare le unità di misura
Immagino solo,E non è il primo errore. Ma d'altronde è pure sempre la Zanichelli
Vero,"Comunque alla fine i problemi erano semplicissimi. Erano tutti solo ""applica la formula"""
Hai finito di riguardati anche le cose vecchie?,Si anche se mi sa che ho un po' cannato gli argomenti. Perché tutto quello del primo trimestre l'avevo studiato bene per la verifica di recupero e okay. Gravità l'ho fatta oggi. Ieri ho fatto la dinamica rotazionale e i momenti credendo fossero quelli gli argomenti della vostra verifica che io non ho fatto. Ma ho scoperto poco prima di cena che principalmente era su centro di massa e cose simili
C'era anche molto di questo,"Bene, meglio"
C'era un esercizio sul centro di massa,Prova a farmi qualche domanda a caso su quegli argomenti di teoria. Così capisco cosa devo ancora riguardare
1 Come si trova l'energia disponibile durante un urto?,Wella un'interrogazione intera hahahaha. Grazie 😂
Nulla,"1 con l'energia cinetica calcolata con massa e velocità relativa del sistema 2 quando in un sistema chiuso non agiscono Momenti angolari di forze esterne 3 raggio per quantità di moto vettore oppure impulso per velocità angolare 4 secondo, infatti Δq/Δt = m*Δv/Δt=ma=F 5 non lo so questa me la spieghi in classe🥲. Giuste?"
Cosa intendi con la prima?,K=1/2 m v². m = m1*m2/m1+m2
1 giusto (ulteriore sol. Kd=Ktot-Kcm),cm sarebbe?
Centro di massa,Ah okok. Perfetto grazie mille
"Niente, a dopo","Abbiamo fatto il sonetto ""Solo e pensoso"" di Petrarca?"
Si,Marco hai fatto l'esercizio 4 della scheda di matematica? Degli esercizi induttivi
"Ciao cata, io prendo la foto di classe. Domani ti do i soldi.",Finalmente è finita. Mamma mia che tedio
Gli incontri,Ah sì?. Fantastico. Pomeriggi culturali stonks
Come stai??,"Ciaooo. Assolutamente a posto, solo un po' intasato"
Ti serviva questo?,Grazie Pincia. Scusa. Mi avevano chiesto aiuto e mi ero scordato come si facesse :)
Non c'è nessuno in classe,"Pincia probabilmente sei agli allenamenti ma appena puoi vita sul gruppo classe serio🙂👍. Scusa se ti disturbo.... C'è una cosa ridicola che abbiamo rifatto anche in classe e non capisco e mi sento troppo stupido.... L'esercizio 1 del fax simile.. mi potresti scrivere la formula delliperbole in forma canonica per favore..?. No niente risolto. Panico per l'interrogazione di domani, oggi ero morto e non ho studiato nulla, adesso mi sono ripreso e sto cercando di fare ora il possibile😭"
Se hai bisogno dalle 20:30 ci sono,"No tranquillo, devo solo studiare e fare esercizi"
👌,E ho sonno☹️
Immagino,Faccio come ha detto la tample. Caffè a gogo e si sta fino alle 3 di notte
"Ciao fra, ho visto il messaggio. Mi manderesti gentilmente la password per il questionario. Grazie mille!","Certo, che numero sei di registr"
21,username: WCMU - password: WZRY
Grazie!,Niente
"Ciao Fra! Come stai? Stanno tanno procedendo bene le vacanze? Volevo chiederti se domani nel primo pomeriggio fossi a casa che ti passavo un attimo a salutare prima che tu parta, se hai tempo che sarai sicuramente pieno di cose da preparare e fare.","Ciao Pinciaa, che bello, mi fa piacere sentirti. Guarda capiti a fagiolo che più di così non si può. Parto il 27 alle 3 di notte e proprio domani mattina/primo pomeriggio vedo Leonardo e Ippedico, quindi se vuoi aggiungerti nessun problema, credo faremo un giro al parco. Sei stato fortunatissimo perché non ho avuto un momento libero per tutta la settimana, um giorno dopo e sarei partito haha"
"Sarebbe bello, cmq avevo saputo che partivi in questi giorni e appena mi è tornato in mente ti ho scritto ahahaha",Quando vuoi venire sei il benvenuto haha
È un piacere ahahah,"Nel caso fossi interessato, tanto giochi sempre a calcio, tanto vale giocarci per beneficenza hahahaha"
Ciao Fra!! Come procede questa avventura in Canada? Hai trovato una nuova zorini? Qui la Bongaro sta dando fuori si matto con i compiti.,"Ciao Pinciaaaaa, tutto benissimo :)) Nessuna zorini in vista, qui i prof sono tutti più giovani dell'arrigoni e soprattutto ridono e scherzano tutti il tempo 😂. La vera domanda è, continuate a mandarli solo tu e Giorgio?. Comunque ogni tanto mi aggiornano, so che la Tamplenizza sta un po' ""dando di matto"". E che quest'anno c'è stata solo una lista di rappresentanza 🫠"
"Sì, una sola lista...",Ma hahahaha
era,Particolare ecco. Roncari? Sempre stordita come al solito?
"Abbastanza, venerdì abbiamo fatto la verifica sulle soluzioni. È stata assente una settimana per non sappiamo che cosa. (Supponiamo covid) Abbiamo corretto e fatto insieme 5 esercizi sugli argomenti in verifica. Su 2 argomenti non ne avevamo fatto neanche mezzo e quando le ho chiesto se potesse darci qualche esercizio su quegli argomenti mi ha risposto: ""Bene, al compito li farete per la prima volta"". ","Cavolo.. già l'anno scorso a me sembrava devastata.. povera, secondo me non ce la fa proprio più, dovrebbe andare in pensione"
"Sì, anche la tample ha già citato tre quattro volte quel traguardo",Per sé stessa o per la roncari?. La dentro dovrebbero andare tutte in pensione😂
Abbiamo alcune prof un pò datate😂,https://vm.tiktok.com/ZMFDTDTmT/
Che fenomeno😂😂,https://youtu.be/6_yU9eJ0NxA. È una figata di concetto
Ciao fra!!! Come stai?? Ti diverti in terra canadese?,"Divertimento è una parola che qui non conoscono hahahahaha. Fai conto che hanno fatto il winter ball a scuola, era una ballo per i graduandi. C'erano tipo tutti i prof intorno che controllavano tutto, c'era la sicurezza che ti perquisiva all'ingresso e dentro al massimo potevi bere acqua e gli ""snakcs"" erano uva e biscotti hahahaha. Però va be', comunque diciamo che mi sto tenendo impegnato. Ho finalmente dato il SAT, un'esame per cui mi sono chiuso in casa/scuola per studiare per due mesi. Ora che ho finito quello (che è per l'università) sto entrando in tutti i club, iniziando il volontariato e mi iscrivo in palestra. Mega riassunto "
