input,risposta
ci vai a scuola in bici?,No vado in moto. Ma la moto è stata rotta per almeno un mese e mezzo per cui sono dovuto andare in bici :). Avevo rotto la pedivella di accensione (spezzata proprio) e poi ci sono stati casini vari tra poco tempo a disposizione e il fatto che fossero arrivati i pezzi sbagliati..
che disastro hahaha,Si.
che moto hai?,Giusto.. mi ero dimenticato che ho anche bucato la camera ad aria della ruota dietro della moto 😃
ma quello è tommi?,Si hahahaha
tooommii,"Perché oltretutto stavo pure portando lui dietro quando è esplosa la gomma. Stavamo andando ad una riunione, per fortuna non è successo nulla, poteva finire moolto peggio😃😃"
tipo??,"In pratica facendo la rotonda del re di sasso è uscito il copertone, ma per fortuna essendo in curva stavo andando piano (quando porto qualcuno sono iper attento e vado con calma). Altrimenti metti che fossi stato da solo e andando veloce in curva mi fosse uscito il copertone..😃 not too good. Quindi alla fine sono stato fortunato. https://vm.tiktok.com/ZMLgUVprd/"
HAHAHAHAHAHHAHAHA giornata tipo,Ei. Come va?
abbastanza bene dai tu?,Cucino nudo ascoltando Vasco Rossi e programmando una intelligenza artificiale nelle pause. Devo aggiungere altro?. *si okay forse una parte potevo evitarla hahaha
naaaah è integrante,:). Hahahahaha. R u up?
buongiorno,:). Ciao
come stai?,"Bu abbastanza bene. Ieri volevo solo un po' di compagnia, niente di che :)"
ah mi dispiace di non avertene fatta,tttranquilla
mi dispiaceee,Ciao Elena ben tornata. A me dispiace per le verificheeeee
ma hai sintomi?,Tosse da un paio di giorni
ma forte?,"Non sei tu che hai detto ""sono tornata"" nell'audio della Ste? Hahahaha. Ma nu tranquillissima hahaha <3"
in generale come stai,"Ma si. Complesso hahaha. Dopo se me lo ricordi ti scrivo, ora sono un attimo preso"
ehi,Buongiorno :))
come stai? non l'ho ancora saputo haha,"ttra. Fisicamente bene, anzi, ho deciso che questa settimana di reclusione mi alleno tutti i giorni, nella speranza che mi torni un po' di forza di volontà per continuare per tutta l'estate, o almeno quello è il progetto haha. Ma in realtà ora come ora bene in tutti i sensi. Diciamo che sto cercando di riprendere un po' tutte le buone abitudini e routine"
"è una cosa molto positiva, sono contenta per te",Sveglia?. Io ci provo haha
mi dispiace per ieri sera,"Ma va figurati, buongiorno ,:)"
come stai?,Bien. Sto sfruttando il mio tempo nel migliore dei modi: www.fracata.site
il tampone?,Venerdì
psicologicamente come stai?,"Già, il prossimo è l'unico weekend libero del mese... Sarebbe carino non perderlo... Bu, calma piatta"
meglio,Sono uno che ha bisogno di contatto fisico e sinceramente è un po' che mi manca :)
i know what it feels like,Sono due settimane che non vedo nessuno
con la tua ragazza come va?,Bastanza bene. Tranne il fatto che non ci vediamo mai e quando ci vediamo spesso non riusciamo ad avere un momento solo per noi. In pratica non sono ancora partito per il Canada ma la relazione è già a distanza hahahaha
comunque mi dispiace,Ah ops. Tu non lo sai
ma,L'anno prossimo faccio 10 mesi in Canada 😗. L'anno scolastico in pratica
è una bellissima opportunità,Già. Ahhh. Ho dato la mia prima ripetizione. Proviamo a fare un esercizio: _vuoto totale_. Povera crista (è di prima) le ho fatto perdere mezz'ora perché non capivo neanche io hahahaha
il terrore,Va be' poi è andata meglio. Ma non so cosa pensi ora di me hahaha opss
ma le fai a distanza quindi?,Eh per forza. Va be' ma era la primissima che davo
che tenero dai hahaha,Ma daiiiiii. Non sono tenero
si invece,Sono un *macho*
seeeh,però dai sono bravo. per farmi perdonare le ho scritto e mandato questo:
guarito?,Ops. Non ti ho più detto niente? Che stronzo haha. Sisi venerdì scorso mi è arrivato il tampone negativo
oooh sono contenta,Scusaa non volevo _cacciarti_ via un sorryy
comunque è molto gentile giulia,Bugiarda. So che in fondo la odi. Comunque come stai? :)
"molto bene, questo periodo è davvero pieno di cose, alcune belle, altre meno ma in generale molto ricco. tu?",Be' ottimo direi. Io ho un'interrogazione l'ultima ora dell'ultimo giorno quindi appena la finisco ti rispondo hahahah
oh no..ma che bastardata mi dispiace,Ti va uno di questi giorni di andare a Lecco in moto? So che è un po' lunga ma secondo me si può fare
oddio siii,":). Ho visto che ora sei a Genova, quando torni a Monza? Giusto per organizzarmi"
sono tornata ieri,"Aw, nice. Visto che domani non posso e dal 20 al 24 ho un PCTO al Politecnico ti proporrei domenica :3"
"orca non ci sono, vado in montagna per il weekend",E allora weekend prossimo se ci sei
puoi solo il weekend?,Di settimana esco alle 13 dal Politecnico. Tempo di tornare a casa e prepararmi sarebbero le 15. Se vuoi possiamo anche andare di pomeriggio
la tua idea sarebbe di fare tutta la giornata?,"Avrei preferito partire prima di pranzo ma va be', tanto c'è luce fino a tardi quindi non c'è troppo problema"
se vuoi e puoi il 27,"Fai un'ora andata e una ritorno, per le 20 a Monza, sono 3 ore a Lecco, in realtà andrebbe benissimo anche così ora che ci penso. As you wish"
si dai,Se potessi giovedì sarebbe ottimo🙏(anche venerdì in realtà)
This message was deleted,Dimmi tuttoo
nulla nulla my bad pensavo di avere una visita questo venerdì,Okok
come caspita mi vesto? haha,HAHAHAHA. Minimo 3 e mezza massimo 4. Ti devo venire a prendere a casa immagino quindi aggiungi 15/20 Min per venire a prenderti
più vicino a te,Più sei verso casa mia meglio è ovviamente
dove abiti?,Io abito a Vedano quindi in sostanza più ti avvicini alla villa reale
ci arrivo con il 221 che passa sotto casa mia,"Sorry adesso sono di fretta che poi ho una cena, tu nel caso scrivi e poi ti rispondo. Yes 221 si ferma anche sotto casa mia"
apposto,Letteralmente
già,"Opzione uno, ci vediamo lo stesso e facciamo un giro a Monza o dove ti pare così tanto per; opzione due, rimandiamo e faremo il giro un altro giorno"
potremmo fare entrambe pregando che domani non venga giù tutto il cielo haha,"Si certo. Ahhh mio padre dice che è meglio non uscire. Io più che altro non so come venire a Monza, credo in autobus; tu in che zona abiti?. Non mi piace cambiare programmi all'ultimo ma credo sia meglio rimandare :/ Per farti capire, avevo anche pensato a cose del tipo _andiamo al parco e ci prendiamo il temporale che tanto è divertente_, però qui la mettono tutti giù come se venga la fine del mondo; non credo sia infattibile ma ci sono sempre giornate stupende, usciremo un giorno migliore"
"facciamo un altro giorno, tranquillo",Comunque il tempo ci prende per il culo
ma la musica sotto >>>,Venerdì che fai?
parto :(,Ma daii. Oggi pomeriggio?
a luglio che fai,9-15 sono in vacanza. Per ora non ho altri impegni per tutta l'estate
"fantastico, io torno il 17","Bien. Poi il 25 è il mio compleanno e vorrei provare ad organizzare qualcosa, ma vediamo"
uuuuuu,"Ehhhhh non lo sooo. Ei, come sta andando in vacanza? :)"
"tutto bene, scusa se non ti ho risposto ma ho il tel solo un'ora al giorno e spesso ho tempo solo per le chiamate alla fam. tu come stai?",Ed ecco perché andare in vacanza in Burundi non è proprio un'ottima idea
HAHAHAHAHAHAHA,"Io sono arrivato a casa oggi :) Quando il capo villaggio, o chiunque comandi in Burundi, ti darà il permesso di usare internet fammi sapere un giorno per vederci, mi farebbe piacere. *baci da un paese civilizzato"
per il 25 alla fine hai organizzato qualcosa?,"Non penso,  mi sono reso conto che se invitassi i miei amici ci sarebbero persone in un range da 15 a 30 anni e non mi sembra molto ottimale. Tornata nella city eh... non ti arrivano neanche i messaggi 😩"
sorry sorry era scarico,SEI VIVA. 🥳🍾. Festeggiamo
aaaa che vogliaa,"Oi comunque a parte le prese in giro, non ho seriamente capito cos'è che ti trattiene dal fare il giro in moto"
il 28 ci sei?,"Se non te la senti dimmelo eh, possiamo anche solo fare un giro qui vicino, fermarci e parlare un po'. Yep"
"come preferisci tu, a me piace","Lo dico più che altro per questioni di sicurezza, perché se sei tranquilla okay, ma se poi ti agiti ecc finisce per essere pericoloso. Io non mi offendo mica, deve far piacere a te e soprattutto essere sicuro per entrambi. Scusa se insisto ma se devo prendermi una responsabilità del genere voglio ovviamente essere sicuro"
lo capisco,"Facciamo che noi il 28 ci vediamo, poi mi dirai cosa vorrai fare"
va bene va bene,"Hi. Enniente non ti arrivano i messaggi, sad"
ehi,Oh buonasera. Posso farti un paio di domande o sei impegnata?
vai vai,Sarò molto sincero e sfacciato perché inizio a capire che altrimenti non si va da nessuna parte hahahaha
ahaha va bene,"Da quando ci siamo ""rivisti"" al fff, tu sei mai stata interessata a me?"
urca,Perché ti assicuro che non l'ho capito
allora,"E sinceramente mi stai molto simpatica, ma ho visto che ti sei un po'allontanata e volevo capirne il motivo. Molto sincera eh. Non mi offendo"
però la base rimane,Va bene. Grazie
spero non sia cringe,"Sai, questa cosa che me ne sto per andare in Canada per un anno rende l'essere paurosamente sinceri molto più semplice"
hahaha evidentemente,Limite? Quale limite?
"sei fidanzato, io impegnata, c'è un limite, nonostante il mio debole",Aw. Due in uno
in che senso,1 sei impegnata? Complimenti
è complicata,2 credevo tua sorella ti avesse accennato qualcosa
oh..,Giulia mi ha lasciato un mese fa ormai
"mi spiace, spero sia finita bene..?",Va be' va be' non che cambi molto. Sapevo che ci saremmo lasciati prima della mia partenza quindi ero preparato
usti,Nono ma ora non voglio assolutamente mettermi in mezzo tra te e chiunque sia il fortunato hahahaha. Forse devo informarmi un po' prima di fare certe domande 🥰
hahahahaha,Intendo queste domande. Cioè a sapere che sei impegnata non te le avrei fatte
cioè le cose non cambiano,"Vabbe' dai. Davvero, non voglio mettermi in mezzo a nulla. Come tu non l'hai fatto quando stavo con Giulia. Per il giro sono sempre disponibile, ma non ti sentire obbligata"
"punto a quel giro da parecchio, so che non sembra perché è passato un fracco di tempo",Hai 11 mesi di tempo. Ok forse è un po' cattiva questa
beh a sto punto ti posso rigirare la tua domanda,È difficile assai
ti tocca,"Ti sembrerà strano ma la cosa che più mi fa """"strano"""" è tua sorella"
oddio haha in che senso,"Ho un rapporto molto speciale con lei, ma anche molto particolare, in realtà in pratica non ci frequentiamo. E col fatto che ci siamo conosciuti quando stavo con Giulia e questa cosa di tua sorella diciamo che non ci ho pensato tanto. Però di sicuro l'interesse c'è un po' sempre stato"
non capisco il collegamento con me e ste,"*so che la cosa di tua sorella ti sembrerà assurda, giuro che è difficile da spiegare. Ecco appunto"
vabbò il 28 approfondiremo,"Ecco tipo il fatto che dici sempre le cose giuste. Mi fa impazzire sia in senso negativo che positivo hahahaha. Io mai una cosa giusta dico, tu sempre,*sempre*. Un talento hahahaa"
il senso negativo mi sfugge,"Perché io noo, dico solo cose sbagliatee"
ma tu hai una percezione un po' distorta,Si. Su questo non ci piove.
comunque che ridere,Ma quanto è puccioso
<Media omitted>,Wut
(qualche giorno fa),Yes
e sarò sembrata una stronza che manco l'ho calcolata,Comunque Matilde hahahaha
va beh c'ero quasi,Matilde. Aurora. Condividono letteralmente una sola lettera. Quella più comune dell'alfabeto. Dimmi come ci sei andata vicina
hai voglia di andartene?,HAHAHAHAHAHAHAHAHAHAHAHAHA. Ho riso per davvero. Della serie viva la sincerità
HAHAHAHAHA,"Comunque si, ti stavo per dare la buonanotte perché sono un po' stanco. Non so bene da cosa tu l'abbia percepito ma okay. Ah no. Andartene. In Canada. Giusto..?"
ma ne possiamo parlare in un altro momento,"Allora, io già sono confuso di natura, se fai così vado in crisi"
mi sembra un ottimo momento,Una conversazione ✨ _particolare_✨. Ma piacevole
concordo,Hai capito tutto ragazza
<Media omitted>,Sogni d'oro e buone vacanze
ma come buone vacanze,Mica parti
buonanotte 💖,Ok forse mi sono confuso da solo. Notte notte
"ehi, giusto per info, tu potresti anche io 27?",Credo di sì ma dopo ti confermo
va bene,Si ci sono :3
allora facciamo il 27?,Vabbbene🙄. Se proprio devo...
daai mi vedi prima del previsto :),Birichina
<Media omitted>,Fammi gli auguri. Non mi ignorare. :(
BUON COMPLEANNO TESOROOO,HAHAHAHAHA
sei ufficialmente più grande di me,Fin'ora i migliori auguri
ma come daai,Questa te la potevi risparmiare
vedrai domani mattina,🫥
da oggi si,Non ci avevo neanche pensato hahaha
madonna elena,"Niente di ché, cenerò a Milano in famiglia forse. Molto molto molto easy"
ci sta ci sta,Scopro nuovi lati di te
"beh il cibo è la mia anima gemella, non ci avresti messo molto a scoprirlo",Elenaaa. Mi hai chiesto di spostare al 27 perché il 28 proprio proprio non puoi?
esatto,Potrebbe esserci un imprevisto :')
beh io posso anche domani eh,Oh. Aiuto sto incastrando duemila impegni che manco mastro geppetto
a parte il 28 quali giorni sono fattibili?,"It's a meeeessss. Aiuto, spetta torno a casa e mi faccio un programma fatto bene. Altrimenti qui non se ne esce più"
mi sento in colpa,"Nonononono. È una cosa particolare. Poi ti spiego, in sostanza ho un problema al posto e sto facendo visite e forse ora inizio una terapia prima di partire ma ancora non so nessuna data"
hai un problema al posto?,Oh ops. Polso hahaha
mi dispiace un sacco,Basta dispiacertiii hahahaha
eh ma a me dispiace davveroo,Ce lho da tre anni ma con il covid ho smesso di allenarmi e non ci ho mai pensato
e ora è peggiorata?,Si un po'. E l'ultimo anno avrei ripreso un po' di attività ma mi faceva male
cavolo fra,Ma che tesoro hahahah. Ti preoccupi un sacco
e certo non ne sapevo nulla,Tu ad agosto parti?
si,Il primo di agosto?. E domani confermi che sei libera?
si si,"Quindi o domani o domani hahahahaha. Va bene va bene. Poi ci organizziamo allora, a te va bene?"
speriamo non piova haha,Mesi di siccità e quando esco a cena per il compleanno: tifone a Milano
siete riusciti ad andare lo stesso vero?,Abbiamo ordinato ora
che belli che sietee,"You deleted this message. A che ora vorresti partire tu?. Mattina faccio un paio di cose per sistemare la moto (benzina, olio, gomme, freccia che è a penzoloni) e poi secondo me andiamo dopo pranzo. Un'ora per salire circa, stiamo lì, ci facciamo un giro e poi pomeriggio tardo/sera (comunque con la luce) torniamo in un'altra oretta. E io magari dormo anche un po' dopo pranzo giusto per partire riposato che voglio essere sicuro al 100%. (Se puoi venire tu a vedano con la 221 mi fai un favore perché così ti faccio provare qui i caschi e poi partiamo da qui, poi al ritorno ti accompagno a casa). A ddomanii"
avrei bisogno di un paio di consigli su cosa mettermi :),"Buongiorno🫠. Allllora.. abbigliamento da moto sarebbe pantaloni lunghi, giubbotto o per lo meno felpa maniche lunghe, scarpe resistenti (non di tela o aperte).. Detto questo, io verrò in camicia, forse metto i pantaloni lunghi. È sicuramente più ""pericoloso"" però fa veramente troppo caldo. Anche io preferirei che tu mettessi il mio giubbotto da moto, però è davvero pesante, ti cuoci con queste temperature"
"ma tipo metto gli occhiali, non le lenti",Hahahahahaha. Metti quello che vuoi. Il casco ha la visiera e gli occhiali non danno fastidio
grazie hahaha,"Fai una cosa, portati una giacca di jeans tipo o qualcosa con maniche lunghe e tessuto non di lino ma comunque leggero. Poi quando sei qui ti faccio provare la mia giacca da moto e vediamo"
che è lunga,Ottima
null,"Quella ancora prima hahaha. Via Battisti Via Matteotti (Vedano al Lambro), 20854 Vedano al Lambro MB, Italia Via Battisti Via Matteotti (Vedano al Lambro), 20854 Vedano al Lambro MB, Italia location: https://maps.google.com/?q=45.60501557332398,9.268210977315903"
okok grazie,A che ora verresti? Io ho finito di pranzare ora. Non ho pensato che ci sono pochi autobus d'estate
va bene o parto prima?,Nono va benissimo. Così mi riposo un attimo e vado a fare benzina
sono appena salita,Oke
sono quasi alla fermata,"Via A. Villa, 62, 20854 Vedano al Lambro MB, Italia Via A. Villa, 62, 20854 Vedano al Lambro MB, Italia location: https://maps.google.com/?q=45.605930113143756,9.268525131046772"
teoricamente sono qui sotto,OK scendo
ok,Sono il cancello verde. È la prima casa all'angolo
come stai?,Figa. 4 giorni che aspetto. Alleluja. Scusa piccolo sfogo hahaha
mi sei mancato:),"Fammi capire, hanno fatto tutto perché sei tornata tardi o perché poi hai risposto ecc"
me lo tolgono quando dicono che tanto non mi serve dato che non rispondo,Non so bene come spiegarmelo ma anche tu. Emmmmmm. Okay..?
mi sa tanto di frase contentino,Ti hanno chiesto dove sei stata e non hai risposto?
comunque oggi l'ho raccontato a mamma,"Spetta un attimo. Adesso ti spiego. Eccomi. Sono in montagna (Barzio) per gli 80 anni di mia nonna e viene su tutta la famiglia, ora sono appena arrivati zii e cugini"
allora tranquillo ci sentiamo dopo,"Nope, lo ggiuro"
mah,Oh. Ci sono
che grande,"No è che mi fa strano dire ""mi sei mancata anche tu"" quindi dovevo per forza aggiungere qualcos'altro alla frase"
HAHAHAHA,Tornando a prima Ah.
che,Cosa di preciso. Non ignorarmi :(
<Media omitted>,In tutto questo non ho capito se hai detto che siamo andati a Lecco quel giorno
forse avevi ragione,E che ha detto?
è pericolosino,NO
un cazzo,MA DAI
forse,"Cretina tu che la odi tanto, la prossima volta la avvisi, secondo me ti lascia andare. Sono molto diretto 🫠"
hai ragione papà,Ecco
la prossima volta forse ti devo dare retta,Brava bimba
forse,Saremmo anche tornati in tempo e avresti avuto il telefono. Tra parentesi
mi manderesti le fotine che hai fatto quel pomeriggio?,"Ci stavo pensando or ora. Cit ""basta fotooo"""
dio bono,Non commentare. Ti picchio. Non. Inviare
non ti avevo fatto una fotina?,Il messaggio. Ah me no
sono bislunga,Non con il mio telefono
BRUTTA TESTA DI CAZZO,🫥
eri bellissimo,"Aw. Ecco ho trovato la formulazione adatta. Non è che mi sei mancata, è che mi ha dato fastidio non averti potuto sentire. Nice"
aka,Come sono bravo
bene bene bene,Ti ho sognato pirla. Dai non farmi dire ste cose che mi vergogno
veramente?,Bojack stile di vita
tristino,"La frase prima era ""i miss you"" poi quelle due. Va be' okay senza contesto e conoscere lui non si capisce molto lo ammetto. Maybe"
che hai sognato?,"E chi se lo ricorda più, una volta segnavo i sogni, ora non lo faccio più"
che cosa carina,"Per i sogni lucidi. Ero riuscito ad averne uno, ma con la scuola avevo la testa troppo impegnata"
quelli in cui decidi cosa fare?,Yep
e che era successo?,"In Canada vorrei riprendere. Era il primo quindi ci sta che era molto breve, però ero nel mio letto ma se guardavo a sinistra ero in un parcheggio con una recizione e una collina dietro, c'erano due macchine e per leggere la targa ne ho avvicinata una, sulla targa c'era scritto tipo ""fratelli"" o una cosa simile. Sembra stupido ma è l'esperienza che è molto strana perché sei completamente cosciente, lo ricordo come se fosse un ricordo come un altro"
mi devi insegnare,Ti spiegherò le tecniche hahaha. Sembra una roba molto esoterica ma è  sciiieenża
mi ispira un sacco,Vado a nanna che domani mi sveglio prestissimo perché dobbiamo andare a fare un'ora e mezza di camminata in montagna :'l. Buonanotte :)
dormi bene,Mi ha fatto piacere sentirti dopo tutti questi giorni
notte notte,(Ho ripensato spesso hai bacini che mi hai dato prima di entrare in casa). Basta. Dopo questa. Passo e chiudo
AAAAAAAAAAW,Notte
ho ottenuto quello che volevo,Infamona
grazie a tutti,Esagerata
HAHAHAHAA si.,Bene
bene,Ora buonanotte per davvero :)
sei già diventato una capra di montagna?,È la prima volta che c'è campo da quando siamo usciti :)
madò che beelloo,Stiamo scendendo ora in jeep
facce visibilmente stanche,Si.. Io ho mangiato troppo...
oh no,1 ora e mezza 600 metri di dislivello andata e ritorno
urca,Quindi 3 ore ecc
bello però,"In più per arrivare alla ""partenza"" c'era mezz'ora di jeep pazza sgravata, strada dissestatissima e vecchietto 90enne alla guida"
madò chissà che divertimento,SENZA PARAPETTO. FA PAURA
ma come,Faceva certi salti..
che figata,Ma ndo stai
"a casa, sto per uscire",*prego. Quando parti se parti ad agosto?
<Media omitted>,MA
<Media omitted>,Indignato
:),Allora. Ho deciso che non ti darò la buonanotte perché mi sto affezionando un po' troppo per i miei gusti. Quindi non ti montare la testa e dormi relativamente bene (non è una buonanotte)
buonanotte anche a te :),Daii
buongiorno carissimo,"Buondì. Todo bien, dormito un po' male ma come al solito. Tu sei già partita? Non mi hai neanche detto dove vai :("
null,"Nope, quella è la vista da casa. Stiamo facendo in giro in paese"
null,Immagino hahahaha. Quando ero più piccolo sono andato quattro o cinque anni in costa azzurra. Ero a Cap dail o come si scrive
com'è?,A parte i francesi molto bella. Più che altro il mare.. veramente stupendo
siamo in Francia comunque,"MI SONO RICORDATO COSA HO SOGNATO. Fra mi ha regalato per il compleanno un bracciale per monitorare passi, battito ecc e tiene anche traccia del sonno. Mi sono appena ricordato, ho sognato che mi diventavano i capelli tutti bianchi e mi sono spaventato"
ti sei svegliato 3 volte,"Relativamente poche, adesso almeno potrò monitorarle e non andare solo a memoria hahaha. Figures"
oltre ad essere sonnambula sono sonniloqua,"Ah ops sorry, davo per scontato. È il mio migliore amico, Francesco Farina. Se senti Fra o Faro è lui"
sarebbe troppo bello vedere che cazzo mi succede certe notti,Che parli nel sonno?
ma di brutto,Ah be' anche io entrambi. Sei in buona compagnia
ti immagini io e te iniziare una conversazione di notte hahaha,"No io ormai poco poco, però quando ero più piccolo molto di più. HAHAHAHAHAHAHHA"
madò,Addirittura urlare 😶
ma l'acqua ghiacciata,Erano la parte migliore 😪
ma veramente,Siccità:((
"madò c'erano delle zone in Liguria tutte bruciate, sembrava di essere in Calabria",Già
è veramente spaventoso a volte,Qui è ancora abbastanza verde
quando torni a Monza?,Appena prendo il motone sarai la prima a provarlo. Oggi pomeriggio
hai voglia?,"Bo', idk, qui fa più fresco ma non c'è assolutamente nessuno, e con mia mamma e mia nonna mi stufo dopo poco"
effettivamente,"Credo che questa settimana farò la valigia, non c'è nessuno, sono tutti in vacanza. E vorrei riprendere a correre. Yep"
ti toccherà farmelo provare,"Sempre online sei, mamma mia. Che addicted"
<Media omitted>,Ma che bei vestitini
che cazzo,Oh. Io sono appena arrivato a casa
immagino il caldo,Perché li si sta bene?
abbastanza,Ohhh finalmente siete al mare
null,Awa che carino
già già,Si accettano scommesse. Da 0 a 5 secondo te quante volte mi sveglierò sta notte. Hai presente quelle robe tipo mood tracker che associ dei valori ad una scala cromatica e ogni giorno stabilisci come ti senti da 1 a 10 e associ il colore e a fine mese hai 30 colori che ti restituiscono un'idea di come ti sei sentito il mese?. Una domanda molto lunga. Fatto sta che mi è venuto in mente che potrei farlo con i risvegli notturni
e sarebbe figo da fare,🫠. La posta in gioco?
un frappè,Al pistacchio
tu a quel cazzo che vuoi,Come sei aggressiva :(
il frappè puoi prenderlo al gusto che più ti aggrada :),Aww oki. Grasie
come stai?,"Sono io. Palesemente io. Molto neutral, non so come definirlo"
con parole tue,"Um. Secondo me il ""mood"" non è una variabile bidimensionale"
2 ma quanto cazzo scrivi bene oddio insegnami,Io disgrafico e disortografico: 🫠
comunque vero,Ho imparato a scrivere bene solo per la matematica. Volevo che le mie formule fossero esteticamente belle
esteticamente belle,Ecco brava
non smetterai mai di stupirmi,*sullo stampatello maiuscolo ci sto ancora lavorando
ma perché non capisco mezza roba,È normale. Tra
in Canada sarai un dio o sono messi bene con la matematica?,Contando che sono un dio anche qui non fa tanta differenza
finalmente hai accettato la cosa,"No comunque a parte gli scherzi, non sono così bravo. Capisco tutto velocemente ma poi faccio estrema fatica ad applicare. Tipo le domande di teoria della maturità di tua sorella super easy (non dirlo alla ste che ti ammazzo), ma se mi avessero dato un problema da risolvere non credo ce l'avrei fatta"
povera ste,Infatti. Non era contro di lei. Però non posso fare altri esempi perché non ho assistito ad altre maturità🫠
essi,Elena. No.
hehehe,ELENA
hehehehe,No sono serio. Non farlo. Povera
chi c'ha voglia,"E che cazzo ne so, tu ti presenti con ""ciao mi chiamo Elena, sono ribelle e faccio il cazzo che mi pare senza pensare alle conseguenze"". Permettimi di farmi venire il dubbio"
e so tenere i cazzi degli altri per me,Infamare -> in (negativo) + fama -> derivato di _fari_ (parlare)  Infamare -> rendere qualcuno una persona della quale non si parla. Scusa ogni tanto l'etimologia delle parole mi incuriosisce e vado a cercare. Te l'ho mandata nella remotissima possibilità potesse interessarti
p,"Mi ha fatto venire in mente che ieri volevo cercare l'etimologia di ""racchetta"" ma non prendeva, ora cerco"
tutto normale,Infatti un po' mi manca non sapere il greco 🥺
ho stra sonno,È divertentissima. Domani quando sei sveglia te la dico. Ti svelo un segreto: questa frase la ripeterai alla fine di ogni anno.
mi piace che condividi con me le cose che ti appassionano,I dunno how to answer
e fa schifo sta cosa,"HAHAHAHAHAHAHAHAHAHAHHAHAHAHAHAHAHA io è già tanto se non penso quando dormo (infatti non dormo). Bo' sai, fa schifo anche pensare troppo, quindi non saprei. *la risata è più isterica che derisoria"
ho paura di pensare perché poi finisco sempre così,Così come
e non ci voglio tornare,Story of my life
tutto ciò è rincuorante,Ci ho provato tante volte. Alla fine credo di esserci abbastanza riuscito. Mi darai un feedback
